id, a9, reg, prov, mun, brgy,a1,a2,a3,a4,a5,b1,b3,b6,b7,b8,b9,b10,b11,b12,c1,c2,c4,c6,c7,c8,c9,c10,e1,e3,d1,d2,d12,d13,d14,d15,d7,d8,d9,d10
1,2,3,3,18,24,2,11,1,1,4,9,3,2,2,,1,1,1,9,1,3,4,2,1,2,1,2,3,1,1,1,2,9,1,1,5,2,2,2
2,2,3,3,18,24,1,9,0,1,3,9,4,1,1,,1,0,4,3,1,2,1,2,4,,,1,1,,0,,,,,,,,,
3,2,3,3,18,24,2,16,1,1,4,16,2,3,1,,1,0,3,3,2,2,3,2,1,2,,1,2,2,0,1,4,16,0,,1,1,2,3
5,2,3,3,18,24,2,12,1,1,5,11,2,4,2,,2,0,3,7,3,2,3,1,4,2,,5,3,2,1,1,1,11,5,,5,1,2,2
6,unknown,3,3,unknown,unknown,2,15,1,1,4,10,2,2,2,,2,0,1,1,2,2,2,3,4,3,1,2,3,2,0,1,1,10,5,0,10,3,2,4
7,unknown,3,3,unknown,unknown,1,14,1,1,4,12,3,1,2,,1,0,2,4,2,3,2,2,2,2,1,3,3,1,0,3,1,12,2,0,6,1,2,3
10,unknown,3,3,unknown,unknown,1,15,1,1,6,13,3,5,5,1,2,1,8,8,2,2,3,1,2,1,,2,3,1,1,5,1,13,1,,13,1,1,7
12,2,3,3,18,25,2,9,1,1,3,7,2,1,4,1,1,0,3,1,1,3,1,,,,,,,,,,,,,,,,,
14,unknown,3,3,unknown,unknown,2,16,1,1,5,13,2,2,1,,1,0,3,5,2,2,2,2,4,1,,1,3,1,0,1,1,13,1,,6,2,2,2
15,2,3,3,18,25,1,11,1,1,3,9,1,2,2,,3,0,1,3,1,3,2,3,7,3,,99,1,1,0,1,3,8,1,,1,3,2,2
16,unknown,3,3,unknown,unknown,2,10,1,1,3,6,2,1,1,,1,0,1,1,2,3,3,2,4,2,,1,1,1,0,3,3,6,1,,3,1,2,3
19,2,3,3,18,25,1,15,1,1,4,14,3,4,1,,1,0,1,3,2,3,2,2,2,1,1,4,3,2,0,1,1,14,1,0,2,2,2,2
